"biomass_sel_ton","year","age","number_sel_thou"
224.874189821081,1995,2,4427.95304166727
537.206117931236,1995,3,4283.5572314383
559.853986273664,1995,4,2721.81725064812
394.144827774337,1995,5,1338.85549801039
NA,1995,6,NA
NA,1995,7,NA
NA,1995,8,NA
NA,1995,9,NA
NA,1995,10,NA
179.036552533448,1996,2,4454.37468076902
212.053846996899,1996,3,2894.70901703327
465.111549549091,1996,4,3697.6961541343
984.363220340178,1996,5,3987.98060091088
NA,1996,6,NA
NA,1996,7,NA
NA,1996,8,NA
NA,1996,9,NA
NA,1996,10,NA
131.732436149797,1997,2,3269.04474998864
314.545815311987,1997,3,3970.09142542295
792.61861649549,1997,4,6487.80029795277
1321.94601594678,1997,5,5559.15419843617
NA,1997,6,NA
NA,1997,7,NA
NA,1997,8,NA
NA,1997,9,NA
NA,1997,10,NA
74.2578963622023,1998,2,2342.11175064997
118.938320149886,1998,3,1684.9971089003
438.951131924145,1998,4,3469.14327294511
1505.68202761115,1998,5,6122.90762851015
NA,1998,6,NA
NA,1998,7,NA
NA,1998,8,NA
NA,1998,9,NA
NA,1998,10,NA
121.029436435582,1999,2,4681.70554554199
212.4207536363,1999,3,3089.87035907233
645.441887776021,1999,4,5196.37360415794
2284.69140805888,1999,5,9590.98953478213
NA,1999,6,NA
NA,1999,7,NA
NA,1999,8,NA
NA,1999,9,NA
NA,1999,10,NA
232.735320506643,2000,2,7159.42090691043
751.886305442737,2000,3,7278.97226512448
887.364761511956,2000,4,5289.88003672749
1455.07142501702,2000,5,4611.63079489222
NA,2000,6,NA
NA,2000,7,NA
NA,2000,8,NA
NA,2000,9,NA
NA,2000,10,NA
701.304237832744,2001,2,31203.3088186479
367.938254982227,2001,3,3937.69676814134
710.507289528018,2001,4,4729.52688125833
1690.42965707296,2001,5,6073.17531116463
NA,2001,6,NA
NA,2001,7,NA
NA,2001,8,NA
NA,2001,9,NA
NA,2001,10,NA
1266.75997069354,2002,2,69983.994841355
774.63516976152,2002,3,21648.3596179214
352.826352135179,2002,4,3553.75372741278
2301.7414022167,2002,5,11082.6629937575
NA,2002,6,NA
NA,2002,7,NA
NA,2002,8,NA
NA,2002,9,NA
NA,2002,10,NA
987.216170004973,2003,2,63653.269220351
606.950733529085,2003,3,22238.6068736218
695.770796074968,2003,4,14101.486373854
2659.99235809488,2003,5,12879.174197216
NA,2003,6,NA
NA,2003,7,NA
NA,2003,8,NA
NA,2003,9,NA
NA,2003,10,NA
1013.70780875661,2004,2,69152.7409862627
825.234489001926,2004,3,32522.925057742
606.109211080854,2004,4,16203.2573001529
2747.33099371394,2004,5,19138.9475125013
NA,2004,6,NA
NA,2004,7,NA
NA,2004,8,NA
NA,2004,9,NA
NA,2004,10,NA
361.879830777864,2005,2,21944.2660403795
1066.81585559262,2005,3,48313.9035797214
1011.20296263783,2005,4,30420.5840133093
2914.64748226025,2005,5,21823.7902855541
NA,2005,6,NA
NA,2005,7,NA
NA,2005,8,NA
NA,2005,9,NA
NA,2005,10,NA
100.487421373404,2006,2,7527.33565520859
215.31658584775,2006,3,9481.39584641653
1700.99357135279,2006,4,52550.1537257748
813.669809616802,2006,5,14812.0921229875
228.990258873495,2006,6,2613.08353436368
441.356105523863,2006,7,3780.11071798514
339.580495186884,2006,8,2031.02197357766
149.193686784547,2006,9,782.282972554817
1362.64456558676,2006,10,4503.47481941006
79.0411273383568,2007,2,6168.03165645668
161.270903532996,2007,3,8032.3152247594
604.997075316105,2007,4,21933.0060105383
1610.42805104656,2007,5,37749.7706630493
981.540197232734,2007,6,14705.3146688509
716.008127160303,2007,7,7553.06274803644
651.923750359037,2007,8,4425.28951594516
437.469425860462,2007,9,2401.93542191313
1775.79062482543,2007,10,5897.66093179677
80.4212271048783,2008,2,5195.36591637624
104.738319621521,2008,3,5278.23749640192
537.555748021415,2008,4,16253.301834242
1090.81316304718,2008,5,32286.4080547943
1085.92432759616,2008,6,22051.417048498
